iter	Logloss
0	0.5505663365
1	0.4624157056
2	0.4053829094
3	0.3702000946
4	0.345929083
5	0.3294189841
6	0.3174873628
7	0.308592196
8	0.3020310097
9	0.2969965937
10	0.2926755216
11	0.2893493497
12	0.2865776445
13	0.2845875457
14	0.2826837759
15	0.2810599268
16	0.2798407118
17	0.2786806176
18	0.2776875194
19	0.276835364
20	0.2760998496
21	0.2754886223
22	0.274900751
23	0.2744094122
24	0.2740115482
25	0.2736488638
26	0.2733083341
27	0.2730307578
28	0.2727570103
29	0.2725573304
30	0.2723451412
31	0.272177591
32	0.2719713193
33	0.2718282529
34	0.2716928478
35	0.2715616939
36	0.2714207357
37	0.2712779134
38	0.2711694878
39	0.2710683477
40	0.2709723075
41	0.2709034986
42	0.2707984716
43	0.270737076
44	0.2706320723
45	0.2705800898
46	0.270512269
47	0.2704497807
48	0.2703739266
49	0.2702946545
50	0.2702230283
51	0.2701539055
52	0.2701082628
53	0.2700672162
54	0.2700284288
55	0.2699941639
56	0.2699500907
57	0.2699013711
58	0.2698508998
59	0.2698107251
60	0.2697231794
61	0.2696519485
62	0.2695143035
63	0.2694877038
64	0.2694621505
65	0.2694299665
66	0.2693989529
67	0.2693652809
68	0.2693311903
69	0.2693084232
70	0.2692746001
71	0.2691639424
72	0.2691433454
73	0.2691387726
74	0.2691160637
75	0.2690979624
76	0.2690629922
77	0.269033889
78	0.2690065879
79	0.2689812516
80	0.268877701
81	0.268784823
82	0.2687677525
83	0.2687365258
84	0.2687094262
85	0.2686733088
86	0.2686533048
87	0.2686334829
88	0.2685706574
89	0.2685497892
90	0.2685322924
91	0.268505778
92	0.2684764927
93	0.2684476221
94	0.2683612041
95	0.2683345773
96	0.2683089193
97	0.2682815096
98	0.2682414706
99	0.2682149251
100	0.2681924642
101	0.2681638765
102	0.2681023375
103	0.2680593029
104	0.268017799
105	0.2680030072
106	0.2679327179
107	0.2678912334
108	0.2678678734
109	0.267845831
110	0.2677854546
111	0.2677556617
112	0.2677283567
113	0.2676474609
114	0.267623818
115	0.2675654529
116	0.2675004147
117	0.2674669403
118	0.2674278235
119	0.267406715
120	0.2673485476
121	0.2673160575
122	0.2672965572
123	0.2672669426
124	0.2672329528
125	0.2671984747
126	0.2671667752
127	0.2671503867
128	0.2671086077
129	0.2670736258
130	0.2670497427
131	0.267014412
132	0.2669875798
133	0.2669639757
134	0.266942127
135	0.2669248357
136	0.2669068584
137	0.2668718843
138	0.2668514152
139	0.2668254472
140	0.2668107135
141	0.2667928951
142	0.2667567391
143	0.2667303951
144	0.2667127899
145	0.2666908172
146	0.2666777111
147	0.2666476082
148	0.2666175518
149	0.2666009153
150	0.2665815468
151	0.2665546294
152	0.2665365552
153	0.2665211162
154	0.2664972835
155	0.2664766633
156	0.2664577443
157	0.2664360972
158	0.2664203055
159	0.2663980267
160	0.2663650484
161	0.2663530971
162	0.266335178
163	0.2663150615
164	0.2662934222
165	0.2662769407
166	0.2662615482
167	0.2662394206
168	0.2662248186
169	0.2662007378
170	0.2661820785
171	0.2661608654
172	0.266133324
173	0.2661051742
174	0.2660697273
175	0.2660503937
176	0.2660267625
177	0.2660131875
178	0.265994656
179	0.2659791318
180	0.2659597013
181	0.2659468665
182	0.2659281684
183	0.2659136207
184	0.2658946901
185	0.2658811578
186	0.2658542674
187	0.2658387742
188	0.2658260595
189	0.2658094308
190	0.2657886168
191	0.2657726392
192	0.265746396
193	0.2657353012
194	0.2657184594
195	0.2657034583
196	0.2656864963
197	0.26567439
198	0.2656524988
199	0.2656389935
200	0.265619067
201	0.2655989661
202	0.2655800161
203	0.2655677742
204	0.265548615
205	0.2655278127
206	0.2655136486
207	0.2654968766
208	0.2654789264
209	0.2654676184
210	0.2654562329
211	0.2654452001
212	0.2654317608
213	0.2654166938
214	0.2653978058
215	0.2653859282
216	0.265375341
217	0.2653611499
218	0.265344246
219	0.26533443
220	0.2653197428
221	0.2653001612
222	0.2652821568
223	0.2652725346
224	0.2652537009
225	0.2652349175
226	0.2652166109
227	0.2652022841
228	0.265183245
229	0.2651712821
230	0.2651542659
231	0.2651344169
232	0.265117358
233	0.2651002875
234	0.2650870109
235	0.2650701846
236	0.2650569739
237	0.265038892
238	0.2650185857
239	0.2649970393
240	0.2649768221
241	0.2649661071
242	0.2649565003
243	0.2649427626
244	0.2649291605
245	0.2649150856
246	0.264903549
247	0.2648873039
248	0.264869098
249	0.2648514385
250	0.2648314655
251	0.2648180377
252	0.2647957163
253	0.2647783358
254	0.2647624047
255	0.2647454776
256	0.2647247179
257	0.2647157932
258	0.2647006681
259	0.2646804354
260	0.2646661551
261	0.2646465541
262	0.2646293868
263	0.2646138587
264	0.2646016284
265	0.2645839379
266	0.2645677665
267	0.2645535327
268	0.2645357995
269	0.2645170976
270	0.2645029064
271	0.2644839991
272	0.2644720556
273	0.2644569421
274	0.2644329388
275	0.2644191701
276	0.2644049557
277	0.2643893578
278	0.2643757014
279	0.2643639904
280	0.2643495009
281	0.2643288923
282	0.2643146934
283	0.2642993087
284	0.2642834279
285	0.2642652801
286	0.264246055
287	0.2642323017
288	0.2642116002
289	0.2641959713
290	0.2641802339
291	0.2641637951
292	0.2641488289
293	0.2641354864
294	0.2641174161
295	0.2641083364
296	0.2640964704
297	0.2640845114
298	0.26407244
299	0.264058555
300	0.2640422325
301	0.2640270919
302	0.264017489
303	0.2640009456
304	0.2639934586
305	0.2639800115
306	0.2639652041
307	0.2639445103
308	0.2639287497
309	0.2639141284
310	0.2638987514
311	0.2638796735
312	0.2638583868
313	0.2638418783
314	0.2638305974
315	0.2638159838
316	0.2638030676
317	0.2637880046
318	0.263771899
319	0.2637589363
320	0.2637430362
321	0.2637272484
322	0.2637168046
323	0.2636992963
324	0.2636849733
325	0.2636721966
326	0.2636584744
327	0.2636416558
328	0.2636217913
329	0.2636121264
330	0.2635997024
331	0.2635829226
332	0.2635658598
333	0.2635488242
334	0.2635359817
335	0.2635204691
336	0.2635079094
337	0.2634975508
338	0.2634848013
339	0.2634696374
340	0.263454772
341	0.2634463239
342	0.2634357678
343	0.2634207667
344	0.2634024988
345	0.2633947483
346	0.2633796115
347	0.2633671294
348	0.2633505859
349	0.2633357437
350	0.2633227307
351	0.2633067491
352	0.2632937593
353	0.2632835131
354	0.2632719998
355	0.2632587116
356	0.2632488568
357	0.2632268996
358	0.2632082248
359	0.2631927471
360	0.2631768121
361	0.2631595168
362	0.2631493559
363	0.2631394973
364	0.2631264183
365	0.2631107585
366	0.2630995861
367	0.2630809152
368	0.2630605934
369	0.2630466425
370	0.2630227322
371	0.2630099594
372	0.26299969
373	0.2629844796
374	0.2629731562
375	0.2629621582
376	0.2629417201
377	0.2629241924
378	0.2629105787
379	0.2628964069
380	0.2628797123
381	0.2628656955
382	0.2628564143
383	0.2628450017
384	0.2628309539
385	0.2628251566
386	0.2628165148
387	0.2628046294
388	0.2627923448
389	0.2627791729
390	0.2627675161
391	0.262753201
392	0.2627449544
393	0.2627327823
394	0.2627215131
395	0.2627067794
396	0.2626937779
397	0.2626800789
398	0.2626632875
399	0.2626488328
400	0.2626261975
401	0.262615091
402	0.2626054959
403	0.2625873791
404	0.262571758
405	0.2625534358
406	0.2625416628
407	0.2625289752
408	0.2625159466
409	0.2625007247
410	0.2624872388
411	0.2624763687
412	0.2624585969
413	0.2624444987
414	0.2624271802
415	0.2624113227
416	0.2623946359
417	0.2623803362
418	0.2623688306
419	0.2623501945
420	0.2623403282
421	0.2623247342
422	0.2623137672
423	0.2623017191
424	0.2622932361
425	0.262276716
426	0.2622593626
427	0.262243385
428	0.262222602
